# +500-100 +5000-100 +500-1000 +10000-300
7041.9931 7500.8799 7269.9863 7581.7258
6963.2879 7372.8277 7173.6857 7421.1919
6840.9966 7274.4350 6476.8117 7326.0317
6725.5812 7142.6504 5894.6233 7176.7588
6646.9706 7122.6321 5448.3821 7052.9477
6611.9899 7113.9557 5019.3138 6801.0438
6481.3390 7010.1299 4658.2270 6773.0084
6441.0284 6928.6307 4396.5881 6520.7417
6361.3021 6885.4308 4240.4212 6371.7063
6338.4026 6820.6872 4017.1954 6204.8872
6277.1507 6739.5171 3894.8728 6078.3566
6202.7184 6654.8029 3821.9287 5910.9024
6155.6983 6629.9417 3705.7558 5763.4457
6071.0262 6613.9578 3652.8364 5642.7736
5952.6141 6561.8330 3575.0419 5469.2558
5835.5551 6459.4211 3593.2020 5256.3382
5827.2151 6410.4931 3578.5334 5213.0788
5833.9594 6323.9874 3510.4682 5077.5838
5733.8861 6281.2811 3501.6149 4985.5291
5747.1992 6272.1810 3453.4884 4828.2949
5642.5994 6162.3579 3455.0082 4745.7640
5655.2644 6153.3217 3519.2904 4637.6113
5572.2873 6094.7916 3459.7596 4588.0027
5524.7403 5953.6266 3447.5071 4487.2303
5404.8450 5956.5323 3489.7469 4414.9607
5412.8270 5946.6990 3389.5940 4343.6907
5365.4089 5916.6089 3437.1528 4300.7179
5330.0821 5789.8008 3415.9398 4213.6804
5227.1583 5748.1943 3402.2563 4131.7768
5172.3454 5736.6350 3414.2260 4070.0066
5123.1093 5641.5842 3401.8457 4020.2549
5084.5099 5666.2242 3375.9450 4015.0679
5056.4630 5588.1150 3362.6636 3939.1620
5006.9962 5487.2393 3361.0580 3905.1767
4996.3348 5403.9043 3380.3856 3861.3340
4903.5342 5319.3550 3406.0472 3825.2434
4874.9290 5356.9247 3344.9080 3784.6587
4834.6069 5317.1064 3325.7493 3710.7373
4771.8248 5277.7801 3372.8878 3754.1826
4753.8191 5252.0464 3353.4310 3740.0311
4742.8789 5200.7208 3330.4347 3685.0269
4676.7639 5039.4699 3354.2878 3662.8382
4647.1552 5099.1078 3325.8160 3617.6149
4551.6284 5004.2196 3347.2692 3611.4417
4581.5484 4976.8101 3342.9964 3574.6803
4579.3254 4953.2618 3340.3300 3588.9959
4555.3560 4965.0571 3349.1060 3564.5238
4546.5467 4873.2394 3336.3168 3547.9427
4493.5520 4853.1523 3372.4858 3560.3696
4479.9506 4819.1593 3361.0309 3539.1812
4441.7050 4790.4329 3369.6273 3541.8441
4422.7963 4757.1180 3366.6284 3508.5528
4401.2339 4689.4036 3359.1288 3476.5157
4326.5844 4690.3200 3384.6621 3487.5262
4367.6733 4657.9806 3392.1018 3471.4846
4303.6796 4605.6238 3377.4191 3434.5683
4274.2334 4588.6288 3371.5894 3448.0512
4204.2754 4607.6843 3334.3848 3435.7072
4233.1367 4549.8856 3380.0949 3424.8631
4202.5527 4532.6872 3381.0838 3404.8319
4101.7963 4498.0049 3352.0109 3422.8741
4209.6727 4477.9847 3374.5447 3420.4024
4135.7704 4474.2074 3358.0497 3409.7511
4153.8960 4391.1378 3363.6336 3382.6970
4154.6009 4393.5267 3351.8052 3415.8702
4114.4751 4347.4931 3387.1127 3368.3980
4097.8346 4306.2338 3390.6421 3417.1847
4063.2781 4301.5723 3399.5062 3415.3141
3990.6557 4285.9512 3373.7741 3403.0423
3969.9878 4275.7204 3398.1769 3397.2686
3996.9536 4279.6599 3362.7837 3409.0427
3956.4199 4257.2992 3382.4587 3398.7308
3944.1881 4186.1396 3345.6759 3369.5984
3947.4598 4151.2337 3390.4083 3397.3517
3938.2863 4169.6426 3410.0973 3396.5354
3929.3380 4146.1827 3350.6704 3364.0776
3923.2802 4096.8923 3374.1268 3394.0067
3889.4071 4087.8052 3400.7458 3381.1873
3927.8313 4073.0958 3337.1657 3377.7614
3929.5273 4070.2057 3367.1340 3352.9957
3874.1066 4032.6726 3390.8763 3380.2583
3838.4451 4038.6088 3406.3706 3369.2928
3845.2214 4004.6210 3361.8307 3363.2487
3831.6412 3982.6652 3351.6726 3369.8839
3810.7014 4013.8789 3400.9751 3354.7744
3814.4752 3982.1014 3378.5520 3356.8832
3779.7086 3989.0037 3372.4349 3361.0198
3784.8624 3939.2227 3321.0527 3339.3809
3745.7113 3930.1737 3356.8211 3335.1822
3744.4364 3908.5396 3388.9388 3298.5414
3745.3157 3868.3817 3338.6166 3319.4459
3762.7173 3873.8603 3348.8550 3373.1506
3761.5409 3853.8122 3397.9936 3283.5587
3744.9538 3834.3616 3374.5292 3355.4410
3774.1661 3757.4372 3378.9848 3340.1110
3731.0518 3776.5251 3388.5327 3339.9809
3709.4996 3774.8511 3406.0597 3322.6233
3681.5086 3794.1344 3405.7810 3317.4884
3732.5632 3788.8952 3382.6892 3329.3088
