# +500-100 +5000-100 +500-1000 +10000-300
0 0 0 0
100 100 1000 300
200 200 2000 600
300 300 3000 900
400 400 4000 1200
500 500 5000 1500
600 600 6000 1800
700 700 7000 2100
800 800 8000 2400
900 900 9000 2700
1000 1000 10000 3000
1100 1100 11000 3300
1200 1200 12000 3600
1300 1300 13000 3900
1400 1400 14000 4200
1500 1500 15000 4500
1600 1600 16000 4800
1700 1700 17000 5100
1800 1800 18000 5400
1900 1900 19000 5700
2000 2000 20000 6000
2100 2100 21000 6300
2200 2200 22000 6600
2300 2300 23000 6900
2400 2400 24000 7200
2500 2500 25000 7500
2600 2600 26000 7800
2700 2700 27000 8100
2800 2800 28000 8400
2900 2900 29000 8700
3000 3000 30000 9000
3100 3100 31000 9300
3200 3200 32000 9600
3300 3300 33000 9900
3400 3400 34000 10200
3500 3500 35000 10500
3600 3600 36000 10800
3700 3700 37000 11100
3800 3800 38000 11400
3900 3900 39000 11700
4000 4000 40000 12000
4100 4100 41000 12300
4200 4200 42000 12600
4300 4300 43000 12900
4400 4400 44000 13200
4500 4500 45000 13500
4600 4600 46000 13800
4700 4700 47000 14100
4800 4800 48000 14400
4900 4900 49000 14700
5000 5000 50000 15000
5100 5100 51000 15300
5200 5200 52000 15600
5300 5300 53000 15900
5400 5400 54000 16200
5500 5500 55000 16500
5600 5600 56000 16800
5700 5700 57000 17100
5800 5800 58000 17400
5900 5900 59000 17700
6000 6000 60000 18000
6100 6100 61000 18300
6200 6200 62000 18600
6300 6300 63000 18900
6400 6400 64000 19200
6500 6500 65000 19500
6600 6600 66000 19800
6700 6700 67000 20100
6800 6800 68000 20400
6900 6900 69000 20700
7000 7000 70000 21000
7100 7100 71000 21300
7200 7200 72000 21600
7300 7300 73000 21900
7400 7400 74000 22200
7500 7500 75000 22500
7600 7600 76000 22800
7700 7700 77000 23100
7800 7800 78000 23400
7900 7900 79000 23700
8000 8000 80000 24000
8100 8100 81000 24300
8200 8200 82000 24600
8300 8300 83000 24900
8400 8400 84000 25200
8500 8500 85000 25500
8600 8600 86000 25800
8700 8700 87000 26100
8800 8800 88000 26400
8900 8900 89000 26700
9000 9000 90000 27000
9100 9100 91000 27300
9200 9200 92000 27600
9300 9300 93000 27900
9400 9400 94000 28200
9500 9500 95000 28500
9600 9600 96000 28800
9700 9700 97000 29100
9800 9800 98000 29400
